경영관리 부서장 모집,"연봉 | 6,000만원 이상",정규 | 주5일,08:00 ~ 17:00,"담당업무 :  회계, 인사, 노무 경영관리 총괄",경력15년 | 대졸(2~3년) | ~ 대졸(4년) 부산광역시
"[보람그룹] 상조, 웨딩, 크루즈 영업조직 / 소장 및 지점장 후보자 공개 채용",월급 | 300만원 ~ 500만원,정규 | 주5일,09:00 ~ 18:00,"담당업무 :  [***실업급여 및 광고때문에 전화 문의 또는 방문은 사절함****] ★담당업무★ - 조직 관리 및 조직 교육 - 리크루팅 - 상조, 웨딩, ...",경력1년 | 학력무관 | 서울특별시 성동구 왕십리로
"종합건설회사(시행,시공) 재경팀장 채용공고","연봉 | 4,000만원 ~ 5,000만원",정규 | 주6일,,"담당업무 :  당사는 1988년 창사이래 민간기업 발주공사 사업을 시작으로 국민주택,건축,토목 등 각 사업분야에 걸쳐 풍부한 경험을 축적하여 왔으...",경력10년 | 대졸(2~3년) | ~ 대졸(4년) 서울특별시
"(강관)철강회사 경리사무원(경리회계 및 사무, 총무관리)_ 서울사무소 근무","연봉 | 2,400만원 이상",비정규 | 주5일,08:30 ~ 18:00,"담당업무 :  2018년 신설법인이며,(40년된 회사의 관계회사) 미래를 함께할 좋은 사람을 찾고 있습니다. 신설법인으로써 부족한 점이 많지만, 창업...",경력1년 | 고졸 | ~ 대졸(4년) 서울특별시
고시텔 야간관리원 모집,"시급 | 8,590원 ~ 8,590원",시간 | (장기),17:00 ~ 09:00,"담당업무 :  <구인내용> * 주요업무: 입실안내, 수금, 민원처리,건물관리 * 근무시간: 오후 17:00 - 다음날 09:00/ 월 2회 휴무 * 월 ...",경력1년 | 학력무관 | 인천광역시 미추홀구 미추홀대로719번길
